
========================================================================
GENERATOR COMPARISON — Meditron-7B
Ollama tag  : meditron
Timestamp   : 2026-05-31 00:51:24
Questions   : 50
LLM Judge   : enabled
========================================================================

-- Accuracy & F1 ─────────────────────────────────────────────────────
Exact Match (EM)        : 0.0000
Token Precision         : 0.1002
Token Recall            : 0.1868
Token F1                : 0.1246

-- BLEU / GLEU / METEOR ──────────────────────────────────────────────
BLEU-1                  : 0.0906
BLEU-4                  : 0.0104
GLEU                    : 0.0283
METEOR                  : 0.1128

-- ROUGE ──────────────────────────────────────────────────────────────
ROUGE-1                 : 0.1612
ROUGE-2                 : 0.0314
ROUGE-L                 : 0.1125
ROUGE-Lsum              : 0.1145

-- Diversity ──────────────────────────────────────────────────────────
DISTINCT-1              : 0.4273
DISTINCT-2              : 0.7395

-- Semantic Similarity ─────────────────────────────────────────────────
SBERT Cosine Sim        : 0.4150
BERTScore F1            : 0.8235
Answer Relevance        : 0.4622

-- Retrieval Quality (proxy-labelled @ thresh=0.45) ──────
Precision@5             : 0.7600
Recall@5                : 0.9800
Hit-Rate@5              : 0.9800
MRR                     : 0.8807
NDCG@5                  : 0.9023
Avg Rerank Score        : 0.5494
Context Relevance       : 0.5843
Avg Confidence          : 0.5889

-- Faithfulness / Hallucination ───────────────────────────────────────
Faithfulness (LLM)      : 0.5680

-- S.C.O.P.E Framework (1-5 scale) ────────────────────────────────────
Sufficiency    (S x0.20): 2.39 / 5
Correctness    (C x0.30): 2.71 / 5
Organization   (O x0.15): 2.47 / 5
Pertinence     (P x0.25): 2.57 / 5
Exactness      (E x0.10): 2.02 / 5
SCOPE Weighted Avg      : 2.51 / 5
SCOPE Simple Avg        : 2.43 / 5

-- LLM-as-a-Judge (0-1) ───────────────────────────────────────────────
LLM Judge Score         : 0.3243

========================================================================
